"year","week","day","N","Users","AnyOutdoor","num.male","num.female","age.median","age.IQR","Rec","Peri","Other_outdoor","Unknown_risk","median.temp","num.rainy","rural","med.small.metro","large.metro","median.SH.index","median.cases","Garden","Mow_lawn","PicnicYard","YardPlay","Brush_clear","Job","ParkPlay","PicnicPark","Camp","Hike","Bike","Hike_Walk","month","covid","percent.rural","percent.med.small.metro","percent.large.metro","percent.rainy","percent.female"
"2020",18,2020-04-30,32,32,29,11,21,59,22,4,19,6,0,8.531196,15,13,13,6,10.8950808921503,98,9,0,2,5,6,0,3,0,0,0,0,0,"4","2post",0.40625,0.40625,0.1875,0.46875,0.65625
"2020",18,2020-05-01,31,31,25,10,21,59,18,7,17,7,4,11.67243,5,13,13,5,7.16435044379846,99,10,1,2,3,8,0,1,0,0,2,3,3,"5","2post",0.419354838709677,0.419354838709677,0.161290322580645,0.161290322580645,0.67741935483871
"2020",18,2020-05-02,47,47,45,14,33,60,20.5,10,38,17,2,15.24135,1,17,21,9,10.2718141571265,104,21,7,7,10,16,0,3,0,0,0,3,1,"5","2post",0.361702127659574,0.446808510638298,0.191489361702128,0.0212765957446809,0.702127659574468
"2020",18,2020-05-03,59,58,57,20,39,55.5,20.75,8,44,18,3,12.16557,1,22,26,11,8.95046037134894,66,21,2,13,13,14,0,4,0,0,0,0,1,"5","2post",0.372881355932203,0.440677966101695,0.186440677966102,0.0169491525423729,0.661016949152542
"2020",18,2020-05-04,43,43,34,18,25,56.5,20.5,7,24,12,1,8.073673,1,13,21,9,14.4215383799983,104,8,1,5,11,10,0,4,0,0,0,1,1,"5","2post",0.302325581395349,0.488372093023256,0.209302325581395,0.0232558139534884,0.581395348837209
"2020",18,2020-05-05,37,37,33,11,26,55.5,21.5,9,22,10,3,6.002652,1,14,16,7,12.5860700423784,105,10,0,1,9,7,0,3,0,0,2,0,4,"5","2post",0.378378378378378,0.432432432432432,0.189189189189189,0.027027027027027,0.702702702702703
"2020",19,2020-05-06,45,45,38,14,31,56,23,7,27,14,4,9.707259,3,18,19,8,10.4008370673702,36,10,3,3,6,9,0,2,0,0,1,1,3,"5","2post",0.4,0.422222222222222,0.177777777777778,0.0666666666666667,0.688888888888889
"2020",19,2020-05-07,40,40,35,11,29,61,21,6,25,15,1,8.640202,3,14,14,12,10.3853687236677,206,12,2,5,9,9,0,3,0,0,1,0,2,"5","2post",0.35,0.35,0.3,0.075,0.725
"2020",19,2020-05-08,33,33,23,9,24,60,22,3,19,8,2,2.458519,11,11,15,7,9.74183077958818,200,7,3,2,6,5,1,2,0,0,1,0,2,"5","2post",0.333333333333333,0.454545454545455,0.212121212121212,0.333333333333333,0.727272727272727
"2020",19,2020-05-09,41,41,35,13,28,58,21,5,23,10,2,5.607603,11,15,17,9,8.20998868990596,85,10,3,1,7,10,0,3,0,0,0,0,1,"5","2post",0.365853658536585,0.414634146341463,0.219512195121951,0.268292682926829,0.682926829268293
